Year,Zipcode,Age_0_4,Age_5_14,Age_15_64,Age_65_84,Age_85_and_Over,Accidents,Total,Alzheimers,Homicide,Cerebrovascular,Cirrhosis,Respiratory,Diabetes,Heart,Hypertension,InfluenzaPneumonia,Suicide,Neoplasms,Nephrosis,Parkinsons
2005,90603,0.0,0.0,0.0,99.0,57.0,,178.0,,0.0,12.0,,,,59.0,,11.0,0.0,43.0,,
2005,90604,0.0,0.0,45.0,125.0,67.0,,248.0,,,22.0,11.0,18.0,,79.0,,,,48.0,,
2005,90605,,,44.0,93.0,50.0,,207.0,,,13.0,,,,66.0,,,,53.0,,
2005,90606,0.0,0.0,39.0,94.0,49.0,,197.0,,,16.0,,,15.0,54.0,,,0.0,46.0,,
2005,90623,0.0,,13.0,42.0,35.0,,102.0,,,13.0,,,,25.0,0.0,,,31.0,0.0,0.0
2005,90630,,,58.0,171.0,56.0,,302.0,,,,,16.0,,91.0,,,,90.0,,
2005,90631,,,81.0,196.0,147.0,19.0,444.0,,,27.0,,22.0,18.0,142.0,,18.0,,98.0,,
2005,90638,,,41.0,172.0,115.0,11.0,344.0,,,23.0,,25.0,14.0,114.0,,,,70.0,,
2005,90639,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2005,90640,0.0,,94.0,186.0,141.0,21.0,437.0,,,18.0,,,25.0,143.0,,15.0,,112.0,,
2005,90650,,,171.0,309.0,134.0,23.0,636.0,,,46.0,19.0,36.0,37.0,206.0,,23.0,,131.0,,
2005,90660,0.0,,108.0,215.0,95.0,11.0,435.0,,,36.0,14.0,17.0,24.0,121.0,,,,97.0,,
2005,90670,0.0,,21.0,61.0,34.0,,130.0,,0.0,,,,,34.0,,,0.0,34.0,,
2005,90701,,0.0,21.0,52.0,47.0,,139.0,,,,,,,38.0,0.0,,,38.0,,0.0
2005,90703,0.0,0.0,56.0,129.0,70.0,,268.0,,,19.0,,,,76.0,,,,81.0,,
2005,90706,11.0,,126.0,202.0,116.0,17.0,476.0,16.0,,21.0,,21.0,26.0,161.0,,18.0,,99.0,,0.0
2005,90710,0.0,0.0,36.0,77.0,49.0,,180.0,,,,0.0,,,62.0,,,,42.0,,
2005,90712,0.0,,51.0,107.0,71.0,,247.0,11.0,,14.0,,,12.0,67.0,0.0,,,66.0,,
2005,90713,0.0,0.0,38.0,109.0,64.0,,217.0,,0.0,14.0,,,,74.0,,13.0,,53.0,,
2005,90715,0.0,,17.0,46.0,15.0,,90.0,0.0,,,0.0,,,32.0,,,0.0,22.0,0.0,0.0
2005,90716,0.0,0.0,,16.0,13.0,,68.0,0.0,,,,,,20.0,0.0,,,12.0,0.0,
2005,90717,0.0,0.0,24.0,60.0,49.0,,144.0,,,,,,,38.0,,,0.0,32.0,,
2005,90723,,,86.0,69.0,51.0,,236.0,,,,,15.0,,53.0,,,,51.0,,
2005,90731,,,131.0,167.0,107.0,20.0,424.0,12.0,,33.0,,14.0,16.0,128.0,,12.0,,100.0,,
2005,90732,0.0,0.0,15.0,84.0,80.0,,194.0,,,12.0,,21.0,,55.0,,,,47.0,,0.0
2005,90744,,,71.0,100.0,37.0,11.0,236.0,,11.0,11.0,,,11.0,73.0,,,,47.0,,
2005,90745,0.0,,95.0,206.0,72.0,14.0,394.0,,,31.0,,21.0,21.0,107.0,,11.0,,105.0,,
2005,90746,0.0,0.0,59.0,106.0,37.0,,211.0,,,25.0,,,14.0,57.0,,,,45.0,,
